name,name_english
チャイム,Chime
何かが伸びる音,Sound of something stretching
鍋に何かが落ちる音,Sound of something falling into a pot
トライアングル,Triangle
錫,Tin
風鈴のような電子音,Electronic sound like a wind chime
何かの楽器,Some kind of musical instrument
鈴のような楽器,Bell-like instrument
空気音,Air sound
ファン,Fan
コンピューター,Computer
コンピューターを起動し、タイピングをする音,Sound of a computer starting up and typing
掃除機を起動し終了する,Vacuum cleaner turning on and off
ディスク,Disc
電話,Telephone
ダイアルアップ,Dial-up sound
遠くで雨が降っている,Rain falling in the distance
外で雨が降っていて、屋内で何かのスイッチを入れた音,Rain falling outside with a switch being turned on indoors
ハンドベルを使ったSE,Sound effect using handbells
ハサミで切る音,Sound of cutting with scissors
フィルム,Film
サイレン,Siren
消防車の鐘,Fire truck bell
鐘の音,Bell sound
エイリアン,Alien
ウインドチャイムを使ったチャイム,Chime using wind chimes
オルガンを使ったチャイム,Chime using an organ
楽器とオペラ歌手,Musical instruments and opera singer
オペラ歌手,Opera singer
オルガン？,Organ?
エレクトーン,Electone (electronic organ)
ピアノ,Piano
アニメにでてくる銃声,Gunshot sound from anime
鈴,Bell (small handbell or jingle bell)
何かを切る音,Sound of cutting something
テレビのつかない画面,TV screen turned off
ファンの音,Fan noise
CPのファンの音,CP fan noise
ラジオの無音,Radio static (silence)
AMラジオの無音,AM radio static (silence)
三番叟鈴,Sanbaso Bell
少し大きめの鈴,Slightly Larger Bell
クラベス,Claves
拍子木,Hyoshigi (Wooden Clappers)
ウッドブロック,Woodblock
木琴,Xylophone
リング鈴,Ring Bell
硬い拍子木,Hard Wooden Clappers
カスタネット,Castanets
鈴数個の音,Sound of Several Small Bells
大きめ鈴の音,Sound of a Larger Bell
親指の爪大きさの鈴,Bell the Size of a Thumb Nail
法螺貝,Conch Shell Trumpet
ボウシュウボラ,Boshubora (Sea Snail Shell)
ゲーム音,Game Sound
カセットテープのテープを出して振っている音,Sound of Pulling Out and Shaking a Cassette Tape
薄い木片を回転させている音,Sound of Rotating Thin Wooden Pieces
お風呂の蓋を巻いて広げる音,Sound of Rolling and Unfolding a Bathtub Lid
古いミシンの音,Sound of an Old Sewing Machine
ラッピング紙に何かを入れて振っている,Sound of Putting Something into Wrapping Paper and Shaking It
傘の水を振り払う音,Sound of shaking water off an umbrella
木をナイフでカットする音,Sound of cutting wood with a knife
物を足で避けて大きな荷物を下ろす音,Sound of stepping around objects and putting down a large load
本をかき集める音,Sound of gathering books
落ち葉を集める音,Sound of raking fallen leaves
裁断機,Paper cutter
木の箱の蓋を開ける音,Sound of opening a wooden box lid
金属や木の欠片をビニール袋で振っている音,Sound of shaking metal and wood scraps in a plastic bag
沢山の薄い木の欠片,Many thin wood chips
落ち葉の中を歩く音,Sound of walking through fallen leaves
ピアノのレとファ,Piano notes D and F
ピアノのレとファのペダル,Piano pedal for D and F
低いピアノのドの＃とソ,Low piano notes C# and G
沢山の歓声と拍手,Loud cheers and applause
沢山の歓声と拍手と口笛,"Loud cheers, applause, and whistling"
沢山の拍手,Loud applause
割れるような沢山の拍手,Thunderous applause
女性の沢山の拍手,Loud applause by women
