audiocap_id,youtube_id,start_time,caption,dataset_source
103549,7fmOlUlwoNg,20.0,constant rattling noise and sharp vibrations,test
103548,6BJ455B1aAs,0.0,a rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle,test
103541,GOD8Bt5LfDE,100.0,humming and vibrating with a man and children speaking and laughing,test
103540,YQSuFyFm3Lc,230.0,a train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring,test
103542,VjSEIRnLAh8,30.0,"food is frying, and a woman talks",test
103545,DlWd7Wmdi1E,150.0,a man speaks as birds chirp and dogs bark,test
103544,YNDKuNINDOY,30.0,a large truck driving by as an emergency siren wails and truck horn honks,test
103547,fsBR7e_X_0Y,40.0,a child yelling as a young boy talks during several slaps on a hard surface,test
103546,tjCNwdOUiGc,120.0,"an engine rumbles loudly, then an air horn honks three times",test
103543,sVYTOURVsQ0,0.0,a man talking as a stream of water trickles in the background,test
105639,Me4npKmtchA,270.0,"water is trickling, and a man talks",test
105638,gbtcDoh0q3c,130.0,scraping and speech followed by people laughing,test
105631,9HVgYs8OOLc,310.0,birds cackling and young peoples voices,test
105630,OpiWMltpj44,30.0,"birds are squawking, and ducks are quacking",test
105633,9ZZHvwaH-CU,160.0,repeated gunfire and screaming in the background,test
105632,K_Vre_-4KqU,60.0,an aircraft engine is taking off,test
105635,qeSl7YZAfs4,80.0,water running with a main is speaking,test
105634,4IeDBwyQ9ZQ,190.0,A female speaking with some rustling followed by another female speaking,test
105637,ArHiac57pVk,30.0,males speaking and then a clock ticks twice,test
105636,qZEIs6tS5vk,0.0,an engine revving and then tires squealing,test
102942,paf0nyjg1Js,110.0,a woman speaking followed by a porcelain plate clanking as food and oil sizzles,test
102943,BZCEDkx37rI,15.0,an engine hums as it idles,test
102940,FR7BDRhMATo,310.0,blowing of a horn as a train passes,test
102941,XJba7pTbpD0,5.0,short spray followed by louder longer spray,test
102946,CeRoaEcqUgM,30.0,a motor is revving and changing gears,test
102947,zq00Oe1ecpE,140.0,humming from an engine slowing down then speeding up,test
102944,ztSjcZNUY7A,30.0,a baby cries as a woman speaks with other speech background noise,test
102945,glAeihz0NAM,130.0,ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,test
102948,CM49C3RkzV8,30.0,"an adult female speaks, and muted speech occurs briefly in the background",test
102949,zFzPOsOKog4,20.0,wood thumping and a series of metal clanks while a swarm of insects are buzzing and birds chirp in the distance,test
107286,j0KvrVE_Oww,12.0,"two adult males speak, a small horn blows, and clattering occurs",test
107287,3iLGu2Omgrw,30.0,an adult male is speaking in a quiet environment,test
107284,QvATUKXYFBs,60.0,bells ring followed by humming and vibrations as a train passes while blowing a horn,test
107285,_ezm-TpKj1w,30.0,a vehicle engine revving as a crowd of people talk,test
107282,q46VXJ6JN9M,10.0,some rustling followed by a quick powerful hiss,test
107283,YEYeQ0lIkBQ,0.0,several ducks quack and chirp as men speak and wind blows,test
107280,_xylo5_IiaM,470.0,a woman talking as a baby talks followed by plastic thumping,test
107281,31WGUPOYS5g,22.0,a large engine passes as people speak followed by a siren,test
107288,KtTLsveexOg,210.0,a sewing machine operating as a machine motor hisses loudly in the background,test
107289,5QZ0NtdoKJ8,200.0,digital beeps repeating then a person speaks,test
106086,Af4a-9rcnP0,30.0,bursting and popping noises like gunfire,test
19586,7D7xgd4WJ50,0.0,a bell is ringing loudly and quickly,test
